ID,ชนิด,รหัสสินค้า,"GTIN, UPC, EAN, or ISBN",ชื่อ,เผยแพร่แล้ว,เป็นรายการเด่นหรือไม่,การมองเห็นในแค็ตตาล็อก,คำอธิบายแบบย่อ,คำอธิบาย,วันเริ่มต้นลดราคา,วันสิ้นสุดการลดราคา,สถานะภาษี,กลุ่มภาษี,มีสินค้าในคลังสินค้า?,คลังสินค้า,สินค้าคงคลังเหลือน้อย,อนุญาตให้จองสินค้าหรือไม่,"จำกัดการขายแค่ 1 ชิ้นหรือไม่?","น้ำหนัก (กก.)","ยาว (เซนติเมตร)","กว้าง (เซนติเมตร)","สูง (เซนติเมตร)",เปิดให้ผู้ใช้รีวิวสินค้า?,บันทึกในการสั่งซื้อ,ราคาที่ลด,ราคาปกติ,หมวดหมู่,ป้ายกำกับ,ประเภทการจัดส่ง,ไฟล์รูปภาพ,ลิมิตจำนวนดาวน์โหลด,วันหมดอายุดาวน์โหลด,หลัก,สินค้ากลุ่ม,Up-sells,Cross-sells,"URL ภายนอก",ข้อความของปุ่ม,ตำแหน่ง,แบรนด์,"Product Swatch Type","Product Swatch Type Options","Product Brands","ชื่อคุณสมบัติ 1","ค่าคุณสมบัติ 1 ","คุณสมบัติภายนอกที่เห็นได้ 1","คุณสมบัติทั่วไป 1"
2045,variable,,,"มิกเซอร์ 6CH 99DSP บลูทูธ PRO PLUS GBR-6",1,0,visible,,"<article class=""4ever-article"" data-clipboard-cangjie=""[&quot;root&quot;,{&quot;copyFrom&quot;:1419615057},[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;รายละเอียดสินค้า&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• Input : 6&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• รูปแบบของInput : 4Combo Jack, 1USB, 2RCA&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• Output : 2XLR, 2Phone, 1AUX &quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• Output connector : XLR, Phone 6.5mm TS &quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• PEQ : 3Band&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• GEQ : 7Band&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• Effect : 99 Program&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• คุณสมบัติพิเศษ : USB/ Mp3/ Bluetooth/ 3-PEQ/ 7-GEQ&quot;]]]]"">รายละเอียดสินค้า
\n• พาเวอร์มิกซ์ มีหน่วยประมวลผล Effect ในตัว
\n
\n• เพาเวอร์มิกซ์ มีช่อง เอาต์พุตสเตอริโอ RCA สำหรับการบันทึก
\n
\nที Peak LED ในแต่ละอินพุต
\n
\n• มีไฟ Phantom สำหรับไมโครโฟนคอนเดนเซอร์
\n
\n• มี 2 inserts for Microphone
\n
\n• เครื่องขยายเสียง มี Main OUT เป็น TRS Jack Outs (Phone / Jack Mic)
\n
\nFeatures
\n
\n• Mono input Channels with gold plated XLRs and balanced Line inputs
\n
\n• Built-in digital 256 DSP effects
\n
\n• Ultra-low noise discrete Mic Preamps with +48V Phantom Power
\n
\n• Extremely high headroom - offering more dynamic range
\n
\n• Balanced inputs for highest signal integrity
\n
\n• Ultra-musical 3-band EQ on all channels
\n
\n• Peak LEDs all Mono Channels
\n
\n• Aux Send per channel for external effects and monitoring
\n
\n• Built in digital multi effect
\n
\n• Highly accurate 10 segment Bar graph Metrs
\n
\n• Separate Master Mix Outputs",,,taxable,,0,,,0,0,11,44,42,23,0,,,8400,"เครื่องเสียงกลางแจ้ง > MIXING CONSOLE, เครื่องเสียงกลางแจ้ง",,,https://sahakhun.com/wp-content/uploads/2025/11/TM-6-A.jpg,,,,,,,,,0,,"a:1:{s:32:""bef99584217af744e404ed44a33af589"";a:3:{s:12:""display_type"";s:7:""default"";s:13:""display_label"";s:7:""default"";s:12:""display_size"";s:7:""default"";}}","a:1:{s:32:""bef99584217af744e404ed44a33af589"";a:3:{s:32:""d612dc26a86a9f712ae2d338ba318dab"";a:4:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#ffffff"";s:5:""image"";s:75:""https://sahakhun.com/wp-content/uploads/woocommerce-placeholder-300x300.png"";s:8:""image_id"";s:0:"""";}s:32:""f631b3e2d9cf3675dec1d97816abf676"";a:4:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#ffffff"";s:5:""image"";s:75:""https://sahakhun.com/wp-content/uploads/woocommerce-placeholder-300x300.png"";s:8:""image_id"";s:0:"""";}s:32:""75e506f7b63b0a5317e797fe652bce61"";a:4:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#ffffff"";s:5:""image"";s:75:""https://sahakhun.com/wp-content/uploads/woocommerce-placeholder-300x300.png"";s:8:""image_id"";s:0:"""";}}}",,,,,
2084,simple,903SQ350,,"เพาเวอร์แอมป์ 2CH 350W PRO PLUS SQ-350",1,0,visible,,"รายละเอียดสินค้า
\n
\n• AC : 220-230V50Hz/60Hz
\n
\n• Power Supply : 220-230V 50-60/Hz
\n
\nมี Cooling fan พัดลมระบายความร้อน และช่องระบายความร้อนรอบทิศทาง ทำให้เครื่องขยายเสียงทำงานได้ดีและเต็มประสิทธิภาพ
\n
\nพัดลมระบายความร้อน 2 ตัว",,,taxable,,0,,,0,0,11.5,56,42,11,0,,,6200,"เครื่องเสียงกลางแจ้ง > POWER AMPLIFLIFIER, เครื่องเสียงกลางแจ้ง",,,"https://sahakhun.com/wp-content/uploads/2024/09/SQ-350-1.jpg, https://sahakhun.com/wp-content/uploads/2024/09/SQ-350-2.jpg",,,,,,,,,0,,,,,,,,
2087,simple,903EQ215XL,,"อีควอไรเซอร์ PRO PLUS EQ-215XL",1,0,visible,,"รายละเอียดสินค้า
\n
\n• แยกการปรับแต่งย่านความถี่ไว้ 2 ข้าง
\n
\n• ปรับความถี่ข้างละ 15 แบนด์ ได้ตั้งแต่ 25Hz ถึง 16kHz ต่อ 1 ข้าง
\n
\n• ช่องเสียบปลั๊ก AC
\n
\n• ตัวเชื่อมต่อชนิด XLR และ Phone TRS1/4 ""
\n
\n• ไฟแสดงสัญญาณclip(เมื่อมีสัญญาแรงเกินไป)
\n
\nFeatures
\n
\n• Four-segment LED ladders for monitoring output lecels
\n
\n• Switchable boost/cut ranges of + 6dB or + 12dB
\n
\n• front panel bypass switch
\n
\n• 12dB per octave 50Hz low～cut filters
\n
\n• -12dB/ + 12dB input gain
\n
\n• RF fitered , electronically balanced inputs
\n
\n• RF filtered impedance-dalanced inputs
\n
\n• Gold plated XL comnectors
\n
\n• XLR and 1/4"" TRS connectors
\n
\n• Dynamic range of 108dB unweighted
\n
\n• Gredter than 90dB signal to noise ratio unweighted
\n
\n• Internal toroidal transformer",,,taxable,,1,,,0,0,2.5,28,56,6,0,,,1400,"เครื่องเสียงกลางแจ้ง > EQUALIZER, เครื่องเสียงกลางแจ้ง",,,"https://sahakhun.com/wp-content/uploads/2024/09/EQ-215XL-1.jpg, https://sahakhun.com/wp-content/uploads/2024/09/EQ-215XL-2.jpg",,,,,,,,,0,,,,,,,,
2091,simple,901B651,,"ดอกลำโพง 6.5"" 500W โครงสีดำ B-651",1,0,visible,,"รายละเอียดสินค้า
\n
\n• ลำโพง : ลำโพงเสียงกลางขนาด 6.5""
\n
\n• ขนาดวอยซ์ : 1"" ASV
\n
\n• กำลังขับสูงสุด : 500 W
\n
\n• อิมพิแดนซ์ : 4 โอห์ม
\n
\n• แม่เหล็กขนาด : 20 ออนซ์",,,taxable,,1,,,0,0,2.2,32,18,9,0,,,180,"เครื่องเสียงรถยนต์ > CAR SUBWOOFER, เครื่องเสียงรถยนต์",,,"https://sahakhun.com/wp-content/uploads/2025/12/B-651-A.jpg, https://sahakhun.com/wp-content/uploads/2025/12/B-651-C.jpg, https://sahakhun.com/wp-content/uploads/2025/12/B-651-B.jpg",,,,,,,,,0,,,,,,,,
2105,simple,901BZ1,,"ทวีทเตอร์รถยนต์ หน้ากลิ้งได้ 500W LEGACY BZ-1",1,0,visible,,"รายละเอียดสินค้า
\n
\n• ทวีทเตอร์ : ทวีทเตอร์รถยนต์แบบโดม
\n
\n• กำลังขับสูงสุด : 500 W
\n
\n• ความถี่ตอบสนอง : 5000Hz - 20KHz
\n
\n• ความไว : 96 dB/W/M
\n
\n• อิมพิแดนซ์ : 4 โอห์ม",,,taxable,,1,,,0,0,0.1,13,13,3,0,,,58,"เครื่องเสียงรถยนต์ > CAR TWETER, เครื่องเสียงรถยนต์",,,https://sahakhun.com/wp-content/uploads/2025/12/BZ-1-A.jpg,,,,,,,,,0,,,,,,,,
2116,simple,906STM01,,"ขาไมค์ตั้งโต๊ะ คออ่อน ฐานกลม BEST STM-01",1,0,visible,,"รายละเอียดสินค้า
\n
\n• ฐานเป็นเหล็กกลมสีดำเป็นฐานที่มั่นคง แข็งแรง ทนทานไม่โยก หรือล้มง่าย และมีน้ำหนักที่พอดีไม่หนักหรือเบาจนเกินไป
\n
\n• เป็นขาไมค์ตั้งโต๊ะที่ทำจากวัสดุอย่างดี แข็งแรง ทนทาน มีคุณภาพ สามารถนำไปใช้ได้ทุกงานไม่ว่าจะเป็นงานประชุมหรืออบรมต่างๆ
\n
\n• ขนาดหัวใส่คอสวมไมค์ : เส้นผ่าศูนย์กลาง 150 mm. ยาว 330 mm.
\n
\n• ฐานเหล็กพ่นสีดำ เส้นผ่าศูนย์กลาง 145 mm.
\n
\n• เนื่องจากสินค้ารายการนี้ทางร้านจำหน่ายเป็นปริมาณมากจึงไม่สามารถทำการเทสสินค้าได้ทุกชิ้น กรณีลูกค้าซื้อไปแล้วพบปัญหากรุณาติดต่อสอบถามมาทางร้านค้า เพื่อหาวิธีแก้ไขครับ ทางร้านยินดีตอบคำถามและให้ความช่วยเหลือ",,,taxable,,1,,,0,0,1.7,17,17,5,0,,,350,"คอนเนคเตอร์ สายเคเบิล และอุปกรณ์เสริม > MICROPHONE STAND, คอนเนคเตอร์ สายเคเบิล และอุปกรณ์เสริม",,,https://sahakhun.com/wp-content/uploads/2024/09/STM-01-1.jpg,,,,,,,,,0,,,,,,,,
2133,simple,906STM02,,"ขาไมค์ตั้งโต๊ะ แกนตรง คออ่อน BEST STM-02",1,0,visible,,"รายละเอียดสินค้า
\n
\n• ขาไมค์ตั้งโต๊ะ แกนตรง คออ่อน
\n
\n• คออ่อนยาว : 16.5 ซม
\n
\n• ความสูง : 20-36 ซม.
\n
\n• ฐานกว้าง : 16 ซม.
\n
\n• น้ำหนัก : 1.3 กก.",,,taxable,,1,,,0,0,1.9,27,17,5,0,,,420,"คอนเนคเตอร์ สายเคเบิล และอุปกรณ์เสริม > MICROPHONE STAND, คอนเนคเตอร์ สายเคเบิล และอุปกรณ์เสริม",,,https://sahakhun.com/wp-content/uploads/2024/09/STM-02.jpg,,,,,,,,,0,,,,,,,,
2151,simple,907SB5,,"ขายึดตู้ลำโพงติดเพดาน BEST SB-5",1,0,visible,,"<article class=""4ever-article"" data-clipboard-cangjie=""[&quot;root&quot;,{&quot;copyFrom&quot;:1419615057},[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;รายละเอียดสินค้า&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• ขายึดตู้ลำโพงติดเพดาน BEST SB-5 รับน้ำหนักได้ถึง 35 กก.&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• เป็นขายึดตู้ลำโพงคาราโอเกะหรือ ตู้ลำโพงอื่นๆ ติดผนัง สวยงาม แข็งแรง มาตรฐาน&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• ความกว้าง : 36.5 ซม.&quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• ความยาว : 25 ซม. &quot;]]],[&quot;p&quot;,{&quot;jc&quot;:&quot;left&quot;,&quot;ind&quot;:{},&quot;spacing&quot;:{}},[&quot;span&quot;,{&quot;data-type&quot;:&quot;text&quot;},[&quot;span&quot;,{&quot;data-type&quot;:&quot;leaf&quot;},&quot;• ความสูง : 10 ซม.&quot;]]]]"">รายละเอียดสินค้า
\n
\n• ขายึดตู้ลำโพงติดเพดาน BEST SB-5 รับน้ำหนักได้ถึง 35 กก.
\n
\n• เป็นขายึดตู้ลำโพงคาราโอเกะหรือ ตู้ลำโพงอื่นๆ ติดผนัง สวยงาม แข็งแรง มาตรฐาน
\n
\n• ความกว้าง : 36.5 ซม.
\n
\n• ความยาว : 25 ซม.
\n
\n• ความสูง : 10 ซม.
\n
\n</article>",,,taxable,,1,,,0,0,4.1,25,36.5,10,0,,,1100,"คอนเนคเตอร์ สายเคเบิล และอุปกรณ์เสริม > SPEAKER BOX BRACKET, คอนเนคเตอร์ สายเคเบิล และอุปกรณ์เสริม",,,https://sahakhun.com/wp-content/uploads/2024/09/SB-5.jpg,,,,,,,,,0,,,,,,,,
2153,simple,907SB9,,"ขายึดตู้ลำโพงติดผนัง แบบเสียบ BEST SB-9 (รับน.น. 35 ก.ก.)",1,0,visible,,"<p data-pm-slice=""0 0 []"">รายละเอียดสินค้า</p>
\n• ขายึดตู้ลำโพงติดผนัง แบบเสียบ BEST SB-9 รับน้ำหนักได้ถึง 35 กก.
\n
\n• ขาแขวนตู้ลำโพงติดผนังแบบเสียบ/ขายึดตู้ลำโพงแบบเสียบ อย่างดี สีดำ
\n
\n• เหมาะสำหรับใช้กับตู้ลำโพง 8"", 10"", 12"", 15"" ที่มีรูแบบเสียบ เพื่อยึดติดผนัง
\n
\n&nbsp;",,,taxable,,1,,,0,0,1,10,17,37,0,,,1200,"คอนเนคเตอร์ สายเคเบิล และอุปกรณ์เสริม > SPEAKER BOX BRACKET, คอนเนคเตอร์ สายเคเบิล และอุปกรณ์เสริม",,,https://sahakhun.com/wp-content/uploads/2024/09/SB-9.jpg,,,,,,,,,0,,,,,,,,
2218,simple,902JB57,,"ตู้ลำโพง 5 นิ้ว 250W BEST รุ่น JB-57",1,0,visible,,"รายละเอียดสินค้า
\n
\n• ลำโพง : ซัพวูฟเฟอร์ 5.25"" + ทวีทเตอร์โดม
\n
\n• ความถี่ตอบสนอง : 80Hz - 18KHz
\n
\n• ความไว : 88 dB/W/M
\n
\n• อิมพิแดนซ์ : 8 โอห์ม
\n
\n• รองรับกำลังขับ : 35W RMS / 250W MAX
\n
\n• ขั้วต่อ : แจ๊คไบติ้งโพสต์คู่
\n
\n• ขนาด (กxลxส) : 175x156x280 มม.",,,taxable,,1,,,0,0,4.7,23,39,29,0,,,1430,"เครื่องเสียงกลางแจ้ง > SPEAKER BOX, เครื่องเสียงกลางแจ้ง",,,"https://sahakhun.com/wp-content/uploads/2026/01/902JB57-A.jpg, https://sahakhun.com/wp-content/uploads/2026/01/902JB57-B.jpg, https://sahakhun.com/wp-content/uploads/2026/01/902JB57-C.jpg",,,,,,,,,0,,,,,,,,
2244,simple,902JB66,,"ตู้ลำโพง 6.5"" 300W มีไลน์ สีดำ BEST รุ่น JB-66",1,0,visible,,"รายละเอียดสินค้า
\n
\n• ลำโพง : ซัพวูฟเฟอร์ 6.5""+ทวีทเตอร์โดม
\n
\n• ความถี่ตอบสนอง : 65Hz - 20KHz
\n
\n• ความไว : 88 dB/W/M
\n
\n• อิมพิแดนซ์ : 8 โอห์ม
\n
\n• รองรับกำลังขับ : 50W RMS / 300W MAX
\n
\n• ขั้วต่อ : แจ๊คไบติ้งโพสต์คู่
\n
\n• ขนาด (กxลxส) : 190x200x310 มม.
\n
